id,isPlace,key,value,page,name:en,plural:en,name:am,plural:am,name:de,plural:de
125,FALSE,office,accountant,accountants,Accountant,Accountants,ሒሳብ ሠራተኛ,ሒሳብ ሠራተኞች,,
126,FALSE,office,administrative,administrative-offices,Administrative Office,Administrative Offices,አስተዳደር ቢሮ,አስተዳደር ቢሮዎች,,
127,FALSE,office,advertising_agency,advertising-agencies,Advertising Agency,Advertising Agencies,የማስታወቂያ ድርጅት,የማስታወቂያ ድርጅቶች,,
128,FALSE,office,architect,architects,Architect,Architects,አርኪቴክት,አርኪቴክቶች,,
129,FALSE,office,association,associations,Association,Associations,ማኅበር,ማኅበራት,,
130,FALSE,office,company,companies,Company,Companies,ኩባንያ,ኩባንያዎች,,
131,FALSE,office,educational_institution,educational-institutions,Educational Institution,Educational Institutions,የትምህርት ተቋም,የትምህርት ተቋማት,,
132,FALSE,office,employment_agency,employment-agencies,Employment Agency,Employment Agencies,የስራ ቅጥር ኤጀንሲ,የስራ ቅጥር ኤጀንሲዎች,,
133,FALSE,office,foundation,foundations,Foundation,Foundations,ተቋም,ተቋማት,,
134,FALSE,office,insurance,insurances,Insurance,Insurances,ኢንሹራንስ,ኢንሹራንሶች,,
135,FALSE,office,it,it,IT,IT,አይ.ቲ.,አይ.ቲዎች.,,
136,FALSE,office,lawyer,lawyers,Lawyer,Lawyers,ጠበቃ,ጠበቃዎች,,
137,FALSE,office,newspaper,newspapers,Newspaper,Newspapers,ጋዜጣ,ጋዜጦች,,
138,FALSE,office,religion,religions,Religion,Religions,ሃይማኖት,ሃይማኖት,,
139,FALSE,office,research,researches,Research Office,Research Offices,ምርምር ቢሮ,ምርምር ቢሮዎች,,
140,FALSE,office,tax,taxes,Tax,Taxes,ግብር ሰብሳቢ ቢሮ,ግብር ሰብሳቢ ቢሮዎች,,
141,FALSE,office,telecommunication,telecommunications,Telecommunication,Telecommunications,ቴሌኮሙኒኬሽን,ቴሌኮሙኒኬሽን,,
142,FALSE,office,travel_agent,travel-agents,Travel Agent,Travel Agents,የጉዞ ወኪል,የጉዞ ወኪሎች,,
143,FALSE,shop,electrical,electrical,Electrical Material,Electrial Material Stores,የኤሌትሪክ ዕቃዎች መሸጫ,የኤሌትሪክ ዕቃዎች መሸጫ,Elektrofachhandel,Elektofachhandel
